Group,#,Component,Description,Size (S/M/L/XL),Suggested Owner,SRS Reference,Estimated Hours,Start Date,End Date,Schedule Notes,Budget Low (LKR),Budget High (LKR)
B. Portals & Consoles,13,Laws Administrator console,Global Law entity management - create/edit/tag/publish/archive.,S,Developer 2,SS 4.30,12,Nov 05,Nov 08,,"10,100","11,700"
B. Portals & Consoles,14,Tools Administrator console,"Global Tool entity management, same shape as Laws.",S,Developer 2,SS 4.31,12,Nov 08,Nov 10,,"10,100","11,700"
B. Portals & Consoles,15,List Manager console,"Dynamic option lists (Hazards, Categories, and future lists) used to tag Modules/Laws/Tools.",S,Developer 2,SS 4.32,12,Nov 10,Nov 13,,"10,100","11,700"
B. Portals & Consoles,16,Provincial Registrar console,"Per-province application approval queue, scoped learner oversight.",M,Developer 2,SS 4.33,28,Nov 13,Nov 19,,"23,700","27,300"
C. Cross-Cutting,17,Communications,"Announcements (one-way, audience-targeted) and Messages (two-way, fixed valid pairs) between admin/lecturer/student, plus the notification bell/feed.",M,Developer 2,SS 4.25,28,Nov 19,Nov 25,,"23,700","27,300"
C. Cross-Cutting,18,Certificates & public verification,"Certificate generation/reference numbering, withdrawal, and the no-login public lookup page.",M,Developer 1,SS 4.7 4.19 9.2,28,Dec 03,Dec 10,,"23,700","27,300"
C. Cross-Cutting,19,Materials Library,Shared asset/group system used by lecturers and admins to attach files to lectures.,S,Developer 1,SS 4.12,12,Dec 10,Dec 12,,"10,100","11,700"
C. Cross-Cutting,20,Reviews & moderation,"Module and lecturer reviews, and the shared moderation queue used by Super Admin / Module Admin.",S,Developer 2,SS 4.20,12,Nov 25,Nov 28,,"10,100","11,700"
C. Cross-Cutting,21,Tagging / relatedness engine,"The ""found by shared tags, never manually linked"" logic that relates Modules to Laws and Tools, and lets a lecturer curate a subset onto one lecture.",M,Developer 2,BR-26 SS 4.10a,28,Nov 28,Dec 04,,"23,700","27,300"
D. Non-Functional,22,Security & compliance hardening,"Server-side enforcement of every permission check, data retention rules (learner records, 7-year audit log), data minimisation.",M,Together,SS 10.3-10.4,28,Dec 04,Dec 16,"Split ~14h/14h between both devs, in parallel","23,700","27,300"
D. Non-Functional,23,Performance & accessibility,"Device/connection-tolerant performance, reduced-motion support, screen-reader-correct interactive states, SSR content that never depends on JS to become visible.",S,Together,SS 10.1-10.2,12,Dec 07,Dec 18,"Split ~6h/6h between both devs, in parallel","10,100","11,700"
D. Non-Functional,24,"Deployment, infra & DevOps","Hosting, environment config, CI/CD, backups/monitoring - not covered by the SRS itself but required to run the above in production.",M,Together,n/a,28,Dec 09,Dec 20,"Split ~14h/14h between both devs, in parallel","23,700","27,300"
